;;;;;;;;;;x,,,,,,,,,,
EVTNAME10000;Springtime of Nations;;;;;;;;;;;;x
EVTDESC10000;After less than a decade of quiet following the Hispanian Revolution and its subsequent defeat, it was clear to all of Europe that the dark clouds of liberalism creeping across Europe were not harmless. The clouds broke into an angry storm as liberal agitation erupted into open revolution across the continent. The Monarchical Ancien Regimes of Europe could only look on in horror and disgust, as the hymns of the Hispanian Revolution could again be heard echoing from Europe's tumultuous streets, and students and youth again gathered under republican quartereds, celebrating the ideals, dreams and wishes of a young generation, animated by the powerful message of human liberty -- in economic, cultural, social and national affairs -- that was European Liberalism.;;;;;;;;;;;;;x
EVTOPTA10000;We will be freemen, as our fathers were.;;;;;;;;;;;;x
EVTNAME10001;An Age of Liberalism;;;;;;;;;;;;x
EVTDESC10001;Although political liberalism was defeated not much more than a decade ago in the Hispanian War (1826-1829), its ideas and its lessons could not be purged from the memory of Europeans. Throughout Europe, as old legal systems find themselves increasingly challenged by modern technology and mores, the ideas of liberalism, political reform, freedom of speech, and the rights of peoples, rather than of monarchs, are proving again the old proverb that there is no stopping an idea whose time has come. Minorities long yoked under crowns and scepters are waking up to the realization that fate is theirs to make, and, across far away oceans, the riches of Africa and Asia beckon. As the dust settles on the battlefields of Catalonia and Navarra, Europe stands again at the beginning of a new era: An age of Liberalism.;;;;;;;;;;x
EVTOPTA10001;We can expect increased liberal activity in the coming years.;;;;;;;;;;;;;x
EVTDESC10050;Broken, busted, and thrown to the sides lie the barricades, and the cantoned flags have stopped waving from the window sills. The events that will be recorded by history as the $COUNTRY_ADJ$ Liberal Revolution of $YEAR$ are all in the past, and it seems that we have managed to weather the storm.;;;;;;;;;;;;x;;;;
EVTNAME10180;Anti-Albesan Tract;;;;;;;;;;;;;x;;;;
EVTDESC10180;In a time when the forces of revolution threaten to overthrow all the long-established orders of Europe, it becomes our sacred duty to voice our dissent. The Albesans -- holding nothing sacred save the profane -- are charlatans peddling false ideologies. What the liberal terror brought to Hispania, their radicalism now threatens to impose on $COUNTRY$.'\n\nThe widespread liberal agitation in $COUNTRY$ has mobilized the forces of reaction, and a leading conservative intellectual has published an Anti-Albesan tract.;;;;;;;;;;;;x;;;;
EVTNAME10210;Albesan Uprising;;;;;;;;;;;;x;;;;
EVTDESC10220;The sound of rain falling on the deserted square is deafening. A tattered pamphlet, thrown in the gutter -- the ink running out across the paper in soft blueish blooms -- is the only thing that still serves as proof that $PROVINCENAME$ was, up until just recently, a hotbed of liberal agitation. Depicted on the pamphlet is Lady Liberty, the iconographic personification of the Hispanian revolution, holding a republican cantoned flag. The pamphlet reads: 'Liberty, Equality, Brotherhood -- $COUNTRY$'. It is soon swept away by the rain and down into the sewers whence it came.;;;;;;;;;;x;;;;
EVTNAME10231;The Great Hungarian Uprising;;;;;;;;;;x
EVTDESC10231;Hungarian nationalists have become increasingly vocal in recent months at the unjust rulership that our supposedly democratic country has over them without their consent or participation. They have recently taken up arms and assaulted government officials and attacked our offices. If we are to call ourselves a democratic country, better than the absolute monarchy which we had until recently, then we must recognise our own failings and accommodate these people.;;;;;;;;;;x
EVTNAME11104;Revolution in $FROMCOUNTRY$!;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC11104;A pro-$UNION_ADJ$ revolution has taken hold in $FROMCOUNTRY$. Its liberal leaders believe that $COUNTRY$ is the nation best-suited to unite all of $CULTURE_GROUP_UNION$, and thus have sworn to support us until the union is ready to occur.;;;;;;;;;;;;x,,,,,,,,,
EVTNAME11106;The $FROMCOUNTRY_ADJ$ Proposal;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC11106;$MONARCHTITLE$, the $FROMCOUNTRY_ADJ$ ambassador has presented us with news from the recent parliament of German revolutionaries. $FROMCOUNTRY$ has agreed to assemble a federation of German states, with the goal of eventually forming a greater Germany. If we do not agree,it is possible that $FROMCOUNTRY$ will attempt to take our lands by force.;;;;;;;;;;;;x,,,,,,,
EVTDESC199016;Considering the levels of unemployment in $PROVINCENAME$, local landowners have begun a movement to switch to the production of cash crops-- in this case tea, which appears to suited to the local terrain. Whether such a plan would help $PROVINCENAME$ in the long run is unknown, but the landowners are asking for the government's assistance in promoting tea production.;;;;;;;;;;;;x,,,,,,,
EVTDESC199017;Considering the levels of unemployment in $PROVINCENAME$, local landowners have begun a movement to switch to the production of cash crops-- in this case spices, which appears to suited to the local terrain. Whether such a plan would help $PROVINCENAME$ in the long run is unknown, but the landowners are asking for the government's assistance in promoting spice production.;;;;;;;;;;;;x,,,,,,,
EVTDESC199018;Considering the levels of unemployment in $PROVINCENAME$, local landowners have begun a movement to switch to the production of cash crops-- in this case sheep and wool, which appears to suited to the local terrain. Whether such a plan would help $PROVINCENAME$ in the long run is unknown, but the landowners are asking for the government's assistance in promoting wool production.;;;;;;;;;;;;x,,,,,,,
EVTDESC199019;Considering the levels of unemployment in $PROVINCENAME$, local landowners have begun a movement to switch to the production of cash crops-- in this case fruit, which appears to suited to the local terrain. Whether such a plan would help $PROVINCENAME$ in the long run is unknown, but the landowners are asking for the government's assistance in promoting fruit production.;;;;;;;;;;;;x,,,,,,,
EVTDESC199020;Considering the levels of unemployment in $PROVINCENAME$, local landowners have begun a movement to switch to the production of cash crops-- in this case tobacco, which appears to suited to the local terrain. Whether such a plan would help $PROVINCENAME$ in the long run is unknown, but the landowners are asking for the government's assistance in promoting tobacco production.;;;;;;;;;;;;x,,,,,,,
EVTDESC199021;Considering the levels of unemployment in $PROVINCENAME$, local landowners have begun a movement to switch to the production of cash crops-- in this case coffee, which appears to suited to the local terrain. Whether such a plan would help $PROVINCENAME$ in the long run is unknown, but the landowners are asking for the government's assistance in promoting coffee production.;;;;;;;;;;;;x,,,,,,,
EVTDESC199022;Considering the levels of unemployment in $PROVINCENAME$, local landowners have begun a movement to switch to the production of cash crops-- in this case silk, which appears to suited to the local terrain. Whether such a plan would help $PROVINCENAME$ in the long run is unknown, but the landowners are asking for the government's assistance in promoting silk production.;;;;;;;;;;;;x,,,,,,,
EVTDESC199023;Considering the levels of unemployment in $PROVINCENAME$, local landowners have begun a movement to switch to the production of cash crops-- in this case sugar, which appears to suited to the local terrain. Whether such a plan would help $PROVINCENAME$ in the long run is unknown, but the landowners are asking for the government's assistance in promoting sugar production.;;;;;;;;;;;;x,,,,,,,
EVTNAME199030;Fisheries in $PROVINCENAME$;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC199030;Unemployment among workers in $PROVINCENAME$ is high, and many have begun turning to the sea to eke out a living. Local officials are suggesting that the $COUNTRY_ADJ$ support them.;;;;;;;;;;;;x,,,,,,,,,
EVTNAME199031;Lumberyards in $PROVINCENAME$;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC199031;Unemployment among workers in $PROVINCENAME$ is high, but a possible bright spot is the emergence of several lumberyards. Local officials are suggesting that the $COUNTRY_ADJ$ support the lumberyards and allow them to become $PROVINCENAME$'s new major industry.;;;;;;;;;;;;x,,,,,,,,,
EVTNAME199032;Tropical Lumberyards in $PROVINCENAME$;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC199032;Unemployment among workers in $PROVINCENAME$ is high, but a possible bright spot is the emergence of several tropical lumberyards. Local officials are suggesting that the $COUNTRY_ADJ$ support the lumberyards and allow them to become $PROVINCENAME$'s new major industry.;;;;;;;;;;;;x,,,,,,,,,
EVTNAME199033;Ranches in $PROVINCENAME$;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC199033;Unemployment among workers in $PROVINCENAME$ is high, but a possible bright spot is the emergence of several cattle ranches. Local officials are suggesting that the $COUNTRY_ADJ$ support the ranches and allow them to become $PROVINCENAME$'s new major industry.;;;;;;;;;;;;x,,,,,,,,,
EVTNAME199034;Grain Farms in $PROVINCENAME$;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC199034;Unemployment among workers in $PROVINCENAME$ is high, but a possible bright spot is the emergence of several new grain farms. Local officials are suggesting that the $COUNTRY_ADJ$ support the farms and allow them to become $PROVINCENAME$'s new major industry.;;;;;;;;;;;;x,,,,,,,,,
EVTNAME203770;Slavery continues in our nation;;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC203770;Slavery, that ever-controversial policy, has continued on in our nation.;;;;;;;;;;;;;x,,,,,,,,
EVTOPTA203770;Profit, ho!;;;;;;;;;;;;;x,,,,,,,,,
EVTNAME203771;Fascist Takeover of Government!;;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC203771;The recently-elected Fascist party has used its position of superiority to maneuver around the country. Their plans have come to fruition, and through legalistic means, they have turned the country into a dictatorship headed by their Leader. Although they promise to bring the nation to a new era of prosperity and strength, their brutal methods and recent disregard for the law is seen by some as an affront to humanity itself. The supporters of the left will, of course, be mad about this, but only time will tell whether or not this new regime will be successful.;;;;;;;;;;;;;x,,,,
EVTOPTA203771;The world moves on.;;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME203772;Communist Takeover of Government!;;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC203772;The recently-elected Communist party has used its position of superiority to maneuver around the country. Their plans have come to fruition, and through legalistic means, they have turned the country into a dictatorship nominally headed by their council. Although they promise to bring the nation to a new era of equality and prosperity for all, their inflammatory rhetoric and alleged deeds is seen by some as an affront to invidualism and humanity itself. The supporters of the right will, of course, be mad about this, but only time will tell whether or not this new regime will be successful.;;;;;;;;;;;;;x,,,,
EVTNAME203775;The Fascist Movement Arises;;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC203775;A group of far-right extremists has begun to organize within the country, and their pamphlets have recently become a thorn in our regime's side. Their views are on the fringe, and their methods of spreading their views have been clandestine so far. They preach order, unity, strength, homogenous cultures, and national exceptionalism, and while this may please the common man, they are still a potential threat to our regime.;;;;;;;;;;;;;x,,
EVTOPTA203775;Keep an eye on them. Do you have the latest stock ticker?;;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME203776;The Fascists Go Openly Public;;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC203776;Thanks to increased awareness of the fascist platform amongst our people, the fascist organizations within our nation have begun to go public in their demonstrations. They have begun to stalk the streets, intimidating others, and have attacked their communist ideological enemies. This roughhousing may or may not be good for the nation, but we can't explicitly support one side or the other without changing our regime or committing political suicide.;;;;;;;;;;;;;x,,,,,,
EVTOPTA203776;Let the fascists play at politics a while.;;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTB203776;We must keep order in the streets!;;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME203777;Fascist Rallies!;;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC203777;The local fascist organizations have largely united and created a series of awareness-raising and strength-flaunting rallies. These rallies have the amazing ability to inspire people and convert them to the fascist cause, and even have the potential to influence our very government. The communist and liberal groups within our nation have been pestering us to make a decision about these extremists, and this is surely a defining moment in our nation's politics.;;;;;;;;;;;;;x,,,,,,,,
EVTOPTA203777;I have to admit that their slogans are appealing.;;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTB203777;This has gone on for far too long. This must end.;;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME800050;The Power of Tradition;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC800050;Reactionary elements have taken over the $COUNTRY_ADJ$ government, and their influence is felt both here and abroad. Their leadership has already begun to institute widespread changes in the government, while crowds cheer from the central square in $CAPITAL$.;;;;;;;;;;;;x,,,,,,,,
EVTNAME800051;The New $COUNTRY_ADJ$ Order;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC800051;Fascist elements have taken over the $COUNTRY_ADJ$ government, and their influence is felt both here and abroad. Their leadership has already begun to institute widespread changes in the government, while crowds cheer from the central square in $CAPITAL$.;;;;;;;;;;;;x,,,,,,,,
EVTNAME800052;The New Communist Regime;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC800052;Communists have taken over the $COUNTRY_ADJ$ government, and their influence is felt both here and abroad. Their leadership has already begun to institute widespread changes in the government, while crowds cheer from the central square in $CAPITAL$.;;;;;;;;;;;;x,,,,,,,,
EVTNAME800053;A New Order in $COUNTRY$;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC800053;Liberal extremists have taken over the $COUNTRY_ADJ$ government, dedicated to political reforms but opposed to social reform of any kind. They have already instituted a large number of changes within the $COUNTRY_ADJ$ government, while crowds cheer from the central square in $CAPITAL$.;;;;;;;;;;;;x,,,,,,,,
EVTNAME800054;The New Liberal Regime;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC800054;Cheering crowds in $CAPITAL$ are celebrating the toppling of the old $COUNTRY_ADJ$ government, now replaced by a new and liberal order dedicated to political reform within all levels of the $COUNTRY_ADJ$ government. Despite their recent ascent to power, they have already begun to institute changes in $COUNTRY$ that are being felt here and abroad.;;;;;;;;;;;;x,,,,,,,,
EVTNAME800055;Rebellion in $FROMCOUNTRY$!;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC800055;The $FROMCOUNTRY_ADJ$ goverment has been overthrown, and the rebel government has declared themselves free from $COUNTRY_ADJ$ rule. Many are calling for a restoration of order, while others are saying that $FROMCOUNTRY$ is too much trouble. If they want to be free, let them go.;;;;;;;;;;;;x,,,,,,,
EVTNAME800056;Rebellion in our ally!;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC800056;The $FROMCOUNTRY_ADJ$ government has been toppled, and the rebels blame $COUNTRY_ADJ$ influence as one of the primary causes of the old regime's corruption. We have lost our influence in $FROMCOUNTRY$ as a result, and the only question that remains is whether we wish to press our claim by force.;;;;;;;;;;;;x,,,,,,,,
EVTNAME800060;The Proletariat Cause;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC800060;An opportunity has arisen to fund the spread of communism in a neighboring state. If discovered, this could start a diplomatic incident and gain us infamy... but if we do not act, the workers around the world will continue to slave under bourgeois oppression. The proletariats in $CAPITAL$ are calling on us to aid the cause!;;;;;;;;;;;;x,,,,,,,,
EVTNAME800061;The Spread of Fascism;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC800061;An opportunity has arisen to fund the spread of fascism in a neighboring state. If discovered, this could start a diplomatic incident and gain us infamy... but if we do not act, we will be seen as shirking our duty to the fascist cause. The government elite in $CAPITAL$ are calling on us to aid the cause!;;;;;;;;;;;;x,,,,,,,,
EVTNAME800062;The Spread of Anarcho-Liberalism;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC800062;An opportunity has arisen to fund the spread of anarcho-liberalism in a neighboring state. If discovered, this could start a diplomatic incident and gain us infamy... but if we do not act, we will be admitting that we cannot aid the spread of the bourgeois revolution. The liberal elite in $CAPITAL$ are calling on us to aid the cause!;;;;;;;;;;;;x,,,,,,,,
EVTNAME800063;The Cause of Freedom;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC800063;An opportunity has arisen to fund the spread of democracy in a neighboring state. If discovered, this could start a diplomatic incident and gain us infamy... but if we do not act, we will be seen as abandoning those who live under the rule of tyrants. Liberals in $CAPITAL$ are calling on us to aid the cause of world freedom!;;;;;;;;;;;;x,,,,,,,,
EVTNAME800064;We Were Discovered;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC800064; Several of our agents in $FROMCOUNTRY$ were discovered and interrogated, and word of our efforts have spread. This will have an impact on our infamy, and the $FROMCOUNTRY_ADJ$ may choose to take the issue as cause for war against us.;;;;;;;;;;;;x,,,,,,,,
EVTNAME800065;Diplomatic Incident;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC800065;We have reports of $FROMCOUNTRY_ADJ$ propaganda being spread in one of our border provinces. Clearly the $FROMCOUNTRY$ government does not respect our sovereignty. Word of the event has leaked out, and members of the $COUNTRY_ADJ$ government are calling for immediate action!;;;;;;;;;;;;x,,,,,,,,,
EVTNAME800066;Workers of the World;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC800066;If communism is to make strides in the modern era, the ruling proletariat of every nation must work together towards a common goal. Towards that end, $COUNTRY_ADJ$ leaders have called on the government to hold talks with a fellow communist nation to bring us closer together.;;;;;;;;;;;;x,,,,,,,,
EVTNAME800067;$FROMCOUNTRY_ADJ$ Envoy Arrives;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC800067;An envoy has arrived from $FROMCOUNTRY$, offering to improve relations between our country and theirs. The $FROMCOUNTRY_ADJ$ leadership believes that nations so closely aligned in ideology should become closer in truth. Refusing their overtures could be seen as an insult.;;;;;;;;;;;;x,,,,,,,,,
EVTNAME800068;Workers of the World;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC800068;If communism is to make strides in the modern era, the ruling proletariat of every nation must work together towards a common goal. Towards that end, $COUNTRY_ADJ$ leaders have called on the government to hold talks with a fellow communist nation to bring us closer together.;;;;;;;;;;;;x,,,,,,,,
EVTNAME800069;The $COUNTRY_ADJ$ Destiny;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC800069;If fascism is to make strides in the modern era, the rulers of every fascist nation must work together towards a common goal. Towards that end, $COUNTRY_ADJ$ leaders have called on the government to hold talks with a fellow nation to bring us closer together.;;;;;;;;;;;;x,,,,,,,,
EVTNAME800070;The $COUNTRY_ADJ$ Destiny;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC800070;If fascism is to make strides in the modern era, the rulers of every fascist nation must work together towards a common goal. Towards that end, $COUNTRY_ADJ$ leaders have called on the government to hold talks with a fellow nation to bring us closer together.;;;;;;;;;;;;x,,,,,,,,
EVTNAME800071;The Anarcho-Liberal Agenda;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC800071;If anarcho-liberalism is to make strides in the modern era, the rulers of every enlightened nation must work together towards a common goal. Towards that end, $COUNTRY_ADJ$ leaders have called on the government to hold talks with a fellow anarcho-liberal nation to bring us closer together.;;;;;;;;;;;;x,,,,,,,,
EVTNAME800072;The Anarcho-Liberal Agenda;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC800072;If anarcho-liberalism is to make strides in the modern era, the rulers of every enlightened nation must work together towards a common goal. Towards that end, $COUNTRY_ADJ$ leaders have called on the government to hold talks with a fellow anarcho-liberal nation to bring us closer together.;;;;;;;;;;;;x,,,,,,,,
EVTNAME800073;The Light of Democracy;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC800073;The threats to the modern world are many: communism, fascism, tyranny in all forms. If the free and democratic nations of the world are to survive, they must stand together. $COUNTRY_ADJ$ leaders are calling on the government to initiate closer ties with a fellow democratic nation.;;;;;;;;;;;;x,,,,,,,
EVTNAME800074;The Light of Democracy;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC800074;The threats to the modern world are many: communism, fascism, tyranny in all forms. If the free and democratic nations of the world are to survive, they must stand together. $COUNTRY_ADJ$ leaders are calling on the government to initiate closer ties with a fellow democratic nation.;;;;;;;;;;;;x,,,,,,,
EVTNAME800075;A Communist Summit?;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC800075;The time has come for the great communist powers of the world to stand together. A summit has been proposed in $CAPITAL$ that would bring our nations closer, though it also has the chance of going badly and driving us further apart. Do we dare make the attempt?;;;;;;;;;;;;x,,,,,,,,,
EVTNAME800076;The $FROMCOUNTRY_ADJ$ Summit;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC800076;An envoy has arrived from $FROMCOUNTRY$, offering to hold a summit in their capital to bring our two great powers closer together. Refusing their overtures could be seen as an insult, but it's also possible the summit could go poorly and make our relations worse rather than better.;;;;;;;;;;;;x,,,,,,,,
EVTNAME800077;$COUNTRY_ADJ$-$FROMCOUNTRY_ADJ$ Summit of $YEAR$ a Success!;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC800077;The summit in $CAPITAL$ was a smashing success! $FROMCOUNTRY_ADJ$ diplomats left pleased with the progress, and our relations have improved significantly.;;;;;;;;;;;;x,,,,,,,,,
EVTNAME800078;$COUNTRY_ADJ$-$FROMCOUNTRY_ADJ$ Summit of $YEAR$;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC800078;The summit in $CAPITAL$ unfortunately failed to make any significant progress. Talks with $FROMCOUNTRY$ stalled, and even with our common ideological ground there are just too many issues remaining between our nations to improve relations more than marginally.;;;;;;;;;;;;x,,,,,,,,,
EVTNAME800079;$COUNTRY_ADJ$-$FROMCOUNTRY_ADJ$ Summit of $YEAR$ a Disaster!;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC800079;The summit in $CAPITAL$ went very poorly. There are too many issues between our nations, and $FROMCOUNTRY_ADJ$ diplomats left in a huff. Our relations have suffered as a result.;;;;;;;;;;;;x,,,,,,,,,
EVTNAME800080;$FROMCOUNTRY$ Has Refused;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC800080;$FROMCOUNTRY$ has sent a polite refusal to our summit request, saying now is not a good time for a summit.;;;;;;;;;;;;x,,,,,,,,,
EVTNAME800081;A Fascist Summit?;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC800081;The time has come for the great fascist powers of the world to stand together. A summit has been proposed in $CAPITAL$ that would bring our nations closer, though it also has the chance of going badly and driving us further apart. Do we dare make the attempt?;;;;;;;;;;;;x,,,,,,,,,
EVTNAME800082;An Anarcho-Liberal Summit?;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC800082;The time has come for the great anarcho-liberal powers of the world to stand together. A summit has been proposed in $CAPITAL$ that would bring our nations closer, though it also has the chance of going badly and driving us further apart. Do we dare make the attempt?;;;;;;;;;;;;x,,,,,,,,,
EVTNAME800083;A Summit of Equals;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC800083;The time has come for the great democratic powers of the world to stand together. A summit has been proposed in $CAPITAL$ that would bring our nations closer, though it also has the chance of going badly and driving us further apart. Do we dare make the attempt?;;;;;;;;;;;;x,,,,,,,,,
EVTNAME800084;Diplomatic Incident;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC800084;A violent incident has occurred at one of the foreign embassies in $CAPITAL$, spurred on by resentment towards their nation and its ideological hostility towards our communist regime. We will need to decide now whether we are conciliatory in our response, potentially losing prestige for the socialist movement, or whether we imply that their nation's policies are what led to this unfortunate event.;;;;;;;;;;;;x,,,,,,,
