#unequal_treaty_desc;The Japanese are at a disadvantage. We are in a position to bring them to the negotiating table, and wrangle concessions of both trading privileges and reparations-- provided they are willing, of course.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
;;;;;;;;;;;;x,,,,,,,,,,,,,
unite_the_daimyos_desc;With the daimyos under our complete dominance, we will be in a position to fully bring them under the government's control. The divisions maintained by the han system weaken us as a whole-- the Shogunate must be strong and united if it is to move forward as a world power.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
unite_the_daimyos_title;Unite the Daimyos;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
unite_turkestan_desc;Under our nation's leadership, the Turkmen, Kyrgyz, Tajiks and Uzbeks can at last be united into a single Turkestan. Should this dream ever come to pass, the world shall tremble before our might!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,
unite_turkestan_title;Unite Turkestan;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
unite_with_croatia_desc;Now that Croatia has been formed, the time has come for us to join the motherland.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
unite_with_croatia_title;Unite with Croatia;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
unite_with_greece_desc;Our proper place lies with Greece. Long live the Hellenic destiny!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
unite_with_greece_title;Unite With Greece;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
unite_with_japan_desc;The time has come to reconcile with the Japanese government, and unite our nations for the good of the Japanese destiny.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
unite_with_japan_title;Unite With Japan;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
unite_with_nepal_desc;The time has come to rejoin with Greater Nepal and reform the great eastern kingdom.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
unite_with_nepal_title;Unite with Nepal;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
unite_with_romania_desc;Now that Volasea has been formed, the time has come for us to join the motherland.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
unite_with_romania_title;Unite with Volasea;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
unite_with_ukraine_desc;For the common good of our people, we must set aside our sovereignty and join the greater Ukrainian nation.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
unite_with_ukraine_title;Unite with the Ukraine;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
unite_yugoslavia_without;Unite Yugoslavia;;;;;;;;;;;;;x
unite_yugoslavia_without_desc;The slavic peoples of the Balkans are obviously yearning to be united. Perhaps we can push them on towards this goal, if just to better control them.;;;;;;;;;;;;;x
unite_yugoslavia_without_title; Unite Yugoslavia;;;;;;;;;;;;;x
usurp_kalmar_desc;While the Kalmar Union was not reborn in our nation, it seems that a united Scandinavia will never come to pass unless a stronger country stands up and takes over the leadership role.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
usurp_kalmar_title;Take Leadership in the Kalmar Union;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
valparaiso_harbor_desc;Valparaiso has became a required stopover for ships crossing between the Atlantic and Pacific oceans. In its role as a major seaport, Valparaiso receives immigrants from many European countries, but this could change if a new route was to open.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
valparaiso_harbor_title;The Jewel of the Pacific;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
vassal_rebellion_desc;We have attempted diplomatic efforts to achieve our freedom, and been refused. Now our only hope is to demand our independence on threat of all-out war.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
vassal_rebellion_title;Demand Independence;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
violate_neutrality_desc;The Swiss may have declared themselves 'neutral', but if they believe that will stop us-- if they believe the opinion of any of their allies will stop us-- then they are sorely mistaken.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
violate_neutrality_title;Violate Swiss Neutrality;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
war_italian_independence_desc;It falls upon our nation to break the power that Austria has over Italy. Lombardia must be freed, at any cost.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
war_italian_independence_title;War of Italian Independence;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
we_are_italian_desc;Now that we are free, it is time to reassert our Italian heritage. We must rejoin the motherland!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
we_are_italian_title;We are Italian!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
zanzibar_sale_desc;The Zanzibar coast is almost worthless to us, but might be of value to the neighbouring colonial administration in Tanganyika. We should consider selling it for a tidy profit.;;;;;;;;;;;;;;x;,,,,,,,,,,,,,,,,,,,,,
zanzibar_sale_title;Sell Zanzibar;;;;;;;;;;;;;;x;,,,,,,,,,,,,,,,,,,,,,,
